team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
Loyola College,1,POR2025001,Srini,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,2,77,S. SRINIVASAN
Loyola College,1,POR2025003,Sanjay,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,4,0,2,0,0,Midfield,1,2,77,L.sanjay
Loyola College,1,POR2025006,Mohanarasu,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Defense,1,2,77,Mohanarasu 
Loyola College,1,POR2025007,Sunil,19,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,0,0,0,0,5,0,0,0,0,Midfield,1,2,77,Sunil v 
Loyola College,1,POR2025008,Kumaran,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Defense,1,2,77,M.kumaran
Loyola College,1,POR2025009,MARIA,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,Defense,1,2,77,Mariya Immanuel.A
Loyola College,1,POR2025011,Kishore R,12,0,0,0,0,0,1,1,2,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,Forward,1,2,77,Kishore Kumar R 
Loyola College,1,POR2025012,JOBIN,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,Midfield,1,2,77,JOBIN J
Loyola College,1,POR2025013,Vishal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,0,0,Defense,1,2,77,Vishal
Loyola College,1,POR2025014,Lakshay,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,GK,1,2,77,Lakshay.M
Loyola College,1,POR2025017,Siva,7,1,1,0,0,0,0,0,0,0,2,1,4,0,1,0,1,0,0,0,2,1,0,0,0,Midfield,1,2,77,N.sivasubramaniyan
Loyola College,1,POR2025018,Vimal kumar ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,2,77,S.Vimal kumar 
Loyola College,1,POR2025021,Rifan,30,1,0,0,1,0,0,0,0,0,2,1,3,1,0,1,0,0,0,0,0,0,1,0,0,Midfield,1,2,77,Muhammed Rifan
Loyola College,1,POR2025022,Melvin ,13,1,0,1,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,3,0,1,0,0,Midfield,1,2,77,Melvin Thomas
Loyola College,1,POR2025447,Subash,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,2,77,Subash 
Sethu FC,7,POR2025152,siva,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Defense,0,7,77,sivabalan
Sethu FC,7,POR2025153,VIJI.N,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Midfield,0,7,77,vijay
Sethu FC,7,POR2025154,SOLAI,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,0,0,Defense,0,7,77,SOLAI RAJ
Sethu FC,7,POR2025157,BEBITTO JR,11,0,0,0,0,0,0,0,0,0,1,1,3,0,1,3,0,0,0,0,1,0,0,0,0,Forward,0,7,77,BEBITO GODWIN
Sethu FC,7,POR2025158,SHIEK,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,7,77,SYED SHIEK ABDULLA
Sethu FC,7,POR2025159,MADDY,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,Midfield,0,7,77,madhavan
Sethu FC,7,POR2025160,GUHAN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,Midfield,0,7,77,GUHAN RAJ
Sethu FC,7,POR2025163,TAMIL,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,Defense,0,7,77,TAMIL SELVAN
Sethu FC,7,POR2025164,SANDY,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Midfield,0,7,77,SANTHOSH KUMAR SELVAM
Sethu FC,7,POR2025166,KRISH,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,Midfield,0,7,77,KRISHNAKUMAR
Sethu FC,7,POR2025170,SURESH,25,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,0,0,0,0,1,3,0,0,0,Midfield,0,7,77,SURESH
Sethu FC,7,POR2025171,NITHEESH,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,GK,0,7,77,NITHEESH MAHARAJA
Sethu FC,7,POR2025474,SARAVANAKUMAR,100,0,0,0,0,0,0,1,1,0,0,2,4,0,2,1,0,0,0,0,1,0,0,0,0,Defense,0,7,77,SARAVANAKUMAR
Sethu FC,7,POR2025475,MARUTHU,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midfield,0,7,77,MARUTHU
