team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
FC Marina,14,POR2025126,YUVARAJ,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GK,1,0,51,YUVARAJ.A
FC Marina,14,POR2025128,Suriya,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,Defense,1,0,51,JAISURIYA.S
FC Marina,14,POR2025130,DHILIP,12,0,0,0,0,0,0,0,0,0,1,3,5,0,1,1,0,0,0,0,5,4,0,0,0,Defense,1,0,51,DHILIP KUMAR.E
FC Marina,14,POR2025131,KARTHIK JR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,0,51,KARTHICK MANIKANDAN.A
FC Marina,14,POR2025133,RAVI,8,1,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,0,51,RAVI TEJA Y.R
FC Marina,14,POR2025135,SOSO LAYAM,27,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,Forward,1,0,51,SHANGAM LAYAM
FC Marina,14,POR2025136,AKASH,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,0,51,Akash karun
FC Marina,14,POR2025137,AKSHAY,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Defense,1,0,51,Akshay Y.S
FC Marina,14,POR2025139,Aswin ,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Defense,1,0,51,Aswin C.P
FC Marina,14,POR2025140,KISHORE ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,1,0,51,KISHORE S
FC Marina,14,POR2025142,Singboy,14,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,Defense,1,0,51,Leishising Tallanao
FC Marina,14,POR2025145,PRAMODH,17,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,Midfield,1,0,51,PRAMODH AK
FC Marina,14,POR2025147,TAMIL,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Forward,1,0,51,TAMIL SELVAN.D
FC Marina,14,POR2025149,BRIJITH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,Defense,1,0,51,BRIJITH VARGEES
FC Marina,14,POR2025150,AK,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,Defense,1,0,51,Aditya Kalyananthy 
FC Marina,14,POR2025451,DHIYASH,24,1,1,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,0,1,1,0,0,0,0,Forward,1,0,51,Suresh.G
FC Marina,14,POR2025451,DHIYASH,24,1,1,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,0,1,1,0,0,0,0,Forward,1,0,51,Suresh.G
First Goal FC,8,POR2025373,DHANUSH,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Defense,0,5,51,DHANUSH WARAN
First Goal FC,8,POR2025375,Murali,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,Defense,0,5,51,Murali
First Goal FC,8,POR2025376,Sanjeev ,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,5,51,SANJEEV KUMAR E
