team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
Poovai United,3,POR2025231,HARISH ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,Forward,0,7,31,HARISH KUMAR.S
Poovai United,3,POR2025232,GERALD,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Midfield,0,7,31,GERALD MATTHEW A
Poovai United,3,POR2025235,YUVARAJ,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0,0,Defense,0,7,31,YUVARAJ J
Poovai United,3,POR2025237,ANTO ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,Defense,0,7,31,ANTO JEROME G
Poovai United,3,POR2025239,EZHIL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,Defense,0,7,31,EZHILARASAN A
Poovai United,3,POR2025246,DEEPAK ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,4,3,2,0,0,Defense,0,7,31,DEEPAK ANAND 
Poovai United,3,POR2025247,MANI,11,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,Forward,0,7,31,MANI S 
Poovai United,3,POR2025248,IRFAN,15,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Midfield,0,7,31,MOHAMED IRFAN SK
Poovai United,3,POR2025249,TAMIL,22,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,2,2,0,0,Forward,0,7,31,TAMIZARSAN R
Poovai United,3,POR2025254,DINESH JR,40,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,4,1,2,0,0,Forward,0,7,31,D DINESH 
Poovai United,3,POR2025255,SANJAY,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,GK,0,7,31,SANJAY N 
Poovai United,3,POR2025256,vignesh,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,0,7,31,Vignesh waran 
Poovai United,3,POR2025258,VICKY,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,Midfield,0,7,31,Vignesh V
Puzhal FCA,4,POR2025395,Eswar ,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,Defense,0,2,31,R.Eswar 
Puzhal FCA,4,POR2025396,Vinoba,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Defense,0,2,31,S.vinoba gandhi
Puzhal FCA,4,POR2025397,Alex inbaraj ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,2,31,Inbaraj 
Puzhal FCA,4,POR2025401,Kamesh ,11,0,0,0,0,0,0,2,2,0,2,0,3,0,1,4,0,0,0,0,0,1,0,0,0,Forward,0,2,31,Kameshwaran M 
Puzhal FCA,4,POR2025406,Anson ,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GK,0,2,31,Anson rapheal
Puzhal FCA,4,POR2025411,Asif AK,6,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,2,0,0,0,0,Midfield,0,2,31,Asif khan
Puzhal FCA,4,POR2025412,MADHAVAN ,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Defense,0,2,31,MADHAVAN 
Puzhal FCA,4,POR2025413,Sri,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,2,31,Sri arabindh 
Puzhal FCA,4,POR2025414,Britto ,4,1,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Midfield,0,2,31,Leoncius Britto 
Puzhal FCA,4,POR2025415,Jonathan B,15,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,Defense,0,2,31,  B Jonathan 
Puzhal FCA,4,POR2025416,Babu,17,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,Midfield,0,2,31,R.Ramakrishnan
Puzhal FCA,4,POR2025417,JAI ,16,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,Midfield,0,2,31,JAI GANESH E
Puzhal FCA,4,POR2025418,PRAVEEN,20,0,0,0,0,0,0,3,3,0,1,1,4,0,2,0,0,0,0,0,1,0,0,0,0,Midfield,0,2,31,G.Praveendran 
