team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
Puzhal FCA,4,POR2025395,Eswar ,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,Defense,0,6,50,R.Eswar 
Puzhal FCA,4,POR2025396,Vinoba,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defense,0,6,50,S.vinoba gandhi
Puzhal FCA,4,POR2025399,Rajkumar,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Forward,0,6,50,A. Rajkumar 
Puzhal FCA,4,POR2025401,Kamesh ,11,1,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,Forward,0,6,50,Kameshwaran M 
Puzhal FCA,4,POR2025402,John edwin,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defense,0,6,50,D.john edwin
Puzhal FCA,4,POR2025409,Mani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,GK,0,6,50,MANIKANDAN 
Puzhal FCA,4,POR2025411,Asif AK,6,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,1,0,0,0,Midfield,0,6,50,Asif khan
Puzhal FCA,4,POR2025412,MADHAVAN ,8,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Defense,0,6,50,MADHAVAN 
Puzhal FCA,4,POR2025413,Sri,9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,Midfield,0,6,50,Sri arabindh 
Puzhal FCA,4,POR2025415,Jonathan B,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,Defense,0,6,50,  B Jonathan 
Puzhal FCA,4,POR2025417,JAI ,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,4,0,0,0,0,Midfield,0,6,50,JAI GANESH E
Puzhal FCA,4,POR2025418,PRAVEEN,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,0,6,50,G.Praveendran 
Puzhal FCA,4,POR2025420,Vishwa ,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,Midfield,0,6,50,Vishwa kl
Puzhal FCA,4,POR2025482,Franklin Tarun Amalraj,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,Defense,0,6,50,Franklin Tarun Amalraj
Puzhal FCA,4,POR2025483,Allen.R,66,1,0,1,0,0,0,0,0,0,2,0,2,0,0,3,1,0,0,0,0,0,0,0,0,Midfield,0,6,50,Allen.R
Wolfpack FC,16,POR2025344,Ruban ,17,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,Defense,0,4,50,Ruban.A
Wolfpack FC,16,POR2025345,Thooyavan,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward,0,4,50,S.Thooyavan
Wolfpack FC,16,POR2025349,Lokesh,30,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,Forward,0,4,50,Lokesh.K
Wolfpack FC,16,POR2025351,Aadit,99,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,4,50,Aaditya K
Wolfpack FC,16,POR2025353,Allan,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,Midfield,0,4,50,Allan Rahul 
Wolfpack FC,16,POR2025357,Sri,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Midfield,0,4,50,Sri Saran
Wolfpack FC,16,POR2025367,Gowtham,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,Midfield,0,4,50,Gowtham
Wolfpack FC,16,POR2025359,Suriya,14,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,3,2,0,0,0,Midfield,0,4,50,Suriya Raj
Wolfpack FC,16,POR2025360,Bharath,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Defense,0,4,50,M.Bharath
Wolfpack FC,16,POR2025361,Pandi,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Defense,0,4,50,Pandia Rajan
Wolfpack FC,16,POR2025365,Mani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,GK,0,4,50,Mani.P
Wolfpack FC,16,POR2025451,Suresh,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,4,50,Suresh.G
Wolfpack FC,16,POR2025451,Suresh,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,4,50,Suresh.G
Wolfpack FC,16,POR2025452,Henry,44,1,0,0,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,4,1,0,0,0,Midfield,0,4,50,Henry Stallin S
Wolfpack FC,16,POR2025452,Henry,44,1,0,0,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,4,1,0,0,0,Defense,0,4,50,Henry Stallin S
Wolfpack FC,16,POR2025453,Aneesh ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Defense,0,4,50,Aneesh Vincy
