team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
First Goal FC,8,POR2025373,DHANUSH,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,1,0,0,Defense,0,6,43,DHANUSH WARAN
First Goal FC,8,POR2025374,Sathish kumar,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward,0,6,43,K. Sathish kumar
First Goal FC,8,POR2025375,Murali,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,Defense,0,6,43,Murali
First Goal FC,8,POR2025377,NITHIN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GK,0,6,43,Nithin varshan.s
First Goal FC,8,POR2025378,ROHITH JR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Defense,0,6,43,Rohith Christopher 
First Goal FC,8,POR2025383,VISHAL,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,Defense,0,6,43,Vishal Gurumoorthi PG
First Goal FC,8,POR2025387,Anand,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Midfield,0,6,43,Anand 
First Goal FC,8,POR2025388,Deepak ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Defense,0,6,43,Deepak Kumar 
First Goal FC,8,POR2025389,Deepak,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,0,6,43,Deepak Kumar .S
First Goal FC,8,POR2025390,Pradeep ,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,6,43,J Pradeep Raj 
First Goal FC,8,POR2025391,Ramesh,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,6,43,Ramesh N
First Goal FC,8,POR2025392,MEGA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Forward,0,6,43,Meganathan k
First Goal FC,8,POR2025393,Krishna,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,3,2,0,0,0,Forward,0,6,43,A.R.MOHANA KRISHNAN
First Goal FC,8,POR2025457,DHARSHAN ,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,Midfield,0,6,43,DHARSHAN S
First Goal FC,8,POR2025466,KALANITHI ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Defense,0,6,43,KALANITHI B
Podium FC,18,POR2025209,guna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,1,0,43,Guna sekar
Podium FC,18,POR2025210,Armaan,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,Forward,1,0,43,Armaan aslam pathan
Podium FC,18,POR2025213,Naresh,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,1,0,43,Naresh
Podium FC,18,POR2025215,jaison,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,1,0,0,0,Defense,1,0,43,jaison joshwa
Podium FC,18,POR2025216,naveen,16,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,Forward,1,0,43,naveen
Podium FC,18,POR2025221,david,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Midfield,1,0,43,david samuel
Podium FC,18,POR2025222,joshua,10,0,0,0,0,0,1,1,2,0,0,1,1,0,0,5,0,0,0,0,2,0,0,0,0,Forward,1,0,43,joshua
Podium FC,18,POR2025223,surya,18,2,0,1,1,0,1,1,2,0,2,1,3,0,0,4,1,0,0,0,5,0,0,0,0,Midfield,1,0,43,surya
Podium FC,18,POR2025224,moris,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,Forward,1,0,43,moris dinakaran
Podium FC,18,POR2025225,bala,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,Defense,1,0,43,bala
Podium FC,18,POR2025226,benjamin,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Forward,1,0,43,benjamin
Podium FC,18,POR2025227,dhanush,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,Forward,1,0,43,dhanush
Podium FC,18,POR2025228,Vasanth,25,2,1,1,0,0,0,1,1,1,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,Forward,1,0,43,Vasanth 
