team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
SGFC,13,POR20251001,Mohammad Ajnas,14,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,1,0,0,0,Midfield,0,8,61,Mohammad Ajnas Saleem mtp
SGFC,13,POR2025259,KIRTHIK ,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,Defense,0,8,61,KIRTHIK
SGFC,13,POR2025261,RAKEY,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,8,61,Rakesh 
SGFC,13,POR2025262,John Marshal ,24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,1,1,0,0,Defense,0,8,61,W. John Marshal
SGFC,13,POR2025263,Sai,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,0,8,61,H. Sai Krishnan 
SGFC,13,POR2025264,SHAM,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,Defense,0,8,61,SHAM ROSHAN
SGFC,13,POR2025266,Aadhii,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defense,0,8,61,ADHITHYAN.S
SGFC,13,POR2025267,Dinesh,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Forward,0,8,61,Dineshkaran k
SGFC,13,POR2025268,Saravana,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,1,0,0,0,0,Forward,0,8,61,Sri Saravana ganesh 
SGFC,13,POR2025269,Raghul,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,Forward,0,8,61,Raghul raj
SGFC,13,POR2025271,Vicky,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,GK,0,8,61,VIGNESH
SGFC,13,POR2025273,FRANKLIN MESSI,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,Defense,0,8,61,FRANKLIN.A
SGFC,13,POR2025275,Immanuel ,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Defense,0,8,61,Immanuel 
SGFC,13,POR2025445,Akshay Tk,77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,Forward,0,8,61,Akshay Tk
Santhome SAI,9,POR2025045,THARUN ,43,1,0,1,0,0,0,1,1,0,2,2,4,0,0,0,0,0,0,3,1,0,0,0,0,Forward,0,3,61,THARUN M
Santhome SAI,9,POR2025046,Bharath,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Defense,0,3,61,P. Bharath kumar
Santhome SAI,9,POR2025047,TS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,0,3,61,THAMARAISELVAN M
Santhome SAI,9,POR2025050,WALSH,10,0,0,0,0,0,1,2,3,0,0,2,3,0,1,1,0,0,0,0,1,1,0,0,0,Forward,0,3,61,V.S.VISHNU WALSH
Santhome SAI,9,POR2025051,SHAHID,13,1,0,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,Midfield,0,3,61,MOHAMED SHAHID . N
Santhome SAI,9,POR2025054,MOHAN,11,1,0,1,0,0,0,1,1,1,2,1,4,0,1,1,1,0,0,0,2,0,0,0,0,Midfield,0,3,61,MOHAN RAJA.P
Santhome SAI,9,POR2025059,Balaji,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,GK,0,3,61,Balaji.B
Santhome SAI,9,POR2025060,LEO THOMAS,7,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,Midfield,0,3,61,LEO THOMAS
Santhome SAI,9,POR2025064,HEMA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Defense,0,3,61,Hemachandran
Santhome SAI,9,POR2025067,SURIYA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,3,61,K.SURIYA
Santhome SAI,9,POR2025068,Usman,8,0,0,0,0,0,2,1,3,0,0,1,1,0,0,1,0,0,0,0,3,1,0,0,0,Midfield,0,3,61,Afnas usman
Santhome SAI,9,POR2025072,Thivakar,25,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,2,3,2,0,0,0,Defense,0,3,61,Thivakar.P
Santhome SAI,9,POR202540000,Mukil,24,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,1,0,0,0,Forward,0,3,61,Mukil
