team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
FIFA,11,POR2025180,Jagadeesh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfield,0,9,78,Jagadeesh G
FIFA,11,POR2025181,Sathish ,8,0,0,0,0,0,0,4,4,0,0,1,1,0,0,3,0,0,0,0,4,0,1,0,0,Midfield,0,9,78,R. Sathish Kumar 
FIFA,11,POR2025182,Kannan,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,Defense,0,9,78,Kannan.M
FIFA,11,POR2025185,Paarvin,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,1,1,0,0,Defense,0,9,78,Paarvin raj
FIFA,11,POR2025187,Vishnu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,GK,0,9,78,vishnu prasath E
FIFA,11,POR2025188,Vineeth,16,1,0,1,0,0,0,1,1,0,3,0,4,0,1,4,0,0,0,2,0,1,1,0,0,Forward,0,9,78,Vineethkumar. V
FIFA,11,POR2025191,Deepak thapa ,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,1,1,0,0,Midfield,0,9,78,Deepak thapa magar 
FIFA,11,POR2025195,Sanjay,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,Forward,0,9,78,N sanjay
FIFA,11,POR2025196,DENIS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defense,0,9,78,Denis vimal raj
FIFA,11,POR2025197,Rooney Paul,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Midfield,0,9,78,B.Rooney Paul
FIFA,11,POR2025199,Arvind,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Midfield,0,9,78,Aravindhan.R
FIFA,11,POR2025200,Rahul ,16,0,0,0,0,0,0,0,0,0,3,2,6,0,1,2,0,0,0,1,1,0,0,0,0,Midfield,0,9,78,Rahul
