team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,penalty_saves,position,clean_sheets,shots_faced,matchid,Player_FN
Puzhal FCA,4,POR2025394,Madan,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,6,56,R MATHAN KUMAR
Puzhal FCA,4,POR2025395,Eswar ,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Defense,0,6,56,R.Eswar 
Puzhal FCA,4,POR2025399,Rajkumar,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,6,56,A. Rajkumar 
Puzhal FCA,4,POR2025401,Kamesh ,11,1,0,1,0,0,1,1,2,1,2,2,4,0,0,1,0,0,0,0,0,1,0,0,0,Forward,0,6,56,Kameshwaran M 
Puzhal FCA,4,POR2025409,Mani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,GK,0,6,56,MANIKANDAN 
Puzhal FCA,4,POR2025411,Asif AK,6,1,0,1,0,0,0,0,0,1,1,0,3,0,2,0,0,0,0,0,1,1,0,0,0,Midfield,0,6,56,Asif khan
Puzhal FCA,4,POR2025412,MADHAVAN ,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,Defense,0,6,56,MADHAVAN 
Puzhal FCA,4,POR2025413,Sri,9,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,2,1,1,0,0,Midfield,0,6,56,Sri arabindh 
Puzhal FCA,4,POR2025415,Jonathan B,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,Defense,0,6,56,  B Jonathan 
Puzhal FCA,4,POR2025417,JAI ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,Midfield,0,6,56,JAI GANESH E
Puzhal FCA,4,POR2025420,Vishwa ,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfield,0,6,56,Vishwa kl
Puzhal FCA,4,POR2025482,Franklin Tarun Amalraj,35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Defense,0,6,56,Franklin Tarun Amalraj
Puzhal FCA,4,POR2025483,Allen.R,66,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,3,1,1,0,0,Midfield,0,6,56,Allen.R
Steds HCL FC,15,POR2025318,Shankar,20,0,0,0,0,0,0,1,1,0,3,0,4,0,1,1,0,0,0,0,1,2,0,0,0,Midfield,0,5,56,Umashankar M
Steds HCL FC,15,POR2025322,Prasanth,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Defense,0,5,56,Prasanth
Steds HCL FC,15,POR2025323,Mani DJ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,Defense,0,5,56,Manikandan
Steds HCL FC,15,POR2025324,Akash,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Forward,0,5,56,Akash
Steds HCL FC,15,POR2025325,Bala,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defense,0,5,56,Balamurugan
Steds HCL FC,15,POR2025327,Mithran,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,GK,0,5,56,Mithran
Steds HCL FC,15,POR2025330,Surya,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,Defense,0,5,56,Surya
Steds HCL FC,15,POR2025335,Magesh,7,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,Midfield,0,5,56,Magesh
Steds HCL FC,15,POR2025338,Kathick,30,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,5,56,Karthik.k
Steds HCL FC,15,POR2025340,Alex,9,0,0,0,0,0,0,2,2,0,0,2,3,0,1,4,1,0,0,0,2,2,0,0,0,Midfield,0,5,56,Ajay Alex
Steds HCL FC,15,POR2025343,Siva,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,Forward,0,5,56,Sivakumar
Steds HCL FC,15,POR2025464,DHANUSH,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,Defense,0,5,56,DHANUSH
Steds HCL FC,15,POR2025465,Ajay.A,14,1,1,0,0,0,0,2,2,0,1,2,5,0,2,1,0,0,0,0,2,0,0,0,0,Midfield,0,5,56,Ajay.A
